file_name,vertices,edges,m,lambda,density,time_ms,time_s,process_id
dataset/parlamento.net,10,45,20,0.1,-9.0,13219.830463000108,13.219830463000108,271339
dataset/parlamento.net,10,45,20,0.3,11.200000000000001,13262.867251003627,13.262867251003627,271341
dataset/parlamento.net,10,45,20,0.9,90.00000000000001,13814.285598986316,13.814285598986316,271337
dataset/parlamento.net,10,45,20,0.7,54.00000000000001,13924.74880500231,13.92474880500231,271335
dataset/parlamento.net,10,45,20,0.8,72.00000000000001,14401.54088998679,14.40154088998679,271336
dataset/parlamento.net,10,45,20,0.3,11.200000000000001,14928.20677900454,14.92820677900454,271340
dataset/parlamento.net,10,45,20,0.2,-2.3238095238095235,15103.68389901123,15.10368389901123,271339
dataset/parlamento.net,10,45,20,0.8,72.00000000000003,15420.788574003382,15.420788574003382,271335
dataset/parlamento.net,10,45,20,0.1,2.0,15498.882487998344,15.498882487998344,271338
dataset/parlamento.net,10,45,20,0.4,16.6,15526.936793001369,15.526936793001369,271341
dataset/parlamento.net,10,45,20,0.9,90.00000000000001,15697.873397002695,15.697873397002695,271336
dataset/parlamento.net,10,45,20,0.1,2.0,16757.26928000222,16.75726928000222,271337
dataset/parlamento.net,10,45,20,0.3,11.200000000000001,17171.471307985485,17.171471307985485,271339
dataset/parlamento.net,10,45,20,0.9,90.00000000000001,17252.63516799896,17.25263516799896,271335
dataset/parlamento.net,10,45,20,0.4,16.6,17335.351929010358,17.335351929010358,271340
dataset/parlamento.net,10,45,20,0.2,5.800000000000001,17425.764493003953,17.425764493003953,271338
dataset/parlamento.net,10,45,20,0.5,23.0,17718.86855599587,17.71886855599587,271341
dataset/parlamento.net,10,45,20,0.1,-5.923809523809523,18096.57618100755,18.09657618100755,271336
dataset/parlamento.net,10,45,20,0.2,5.800000000000001,18716.338591009844,18.716338591009844,271337
dataset/parlamento.net,10,45,20,0.3,11.200000000000001,19315.04397999379,19.31504397999379,271338
dataset/parlamento.net,10,45,20,0.4,16.6,19419.643867993727,19.419643867993727,271339
dataset/parlamento.net,10,45,20,0.6,36.00000000000001,19447.24194900482,19.44724194900482,271341
dataset/parlamento.net,10,45,20,0.5,23.0,19546.047573996475,19.546047573996475,271340
dataset/parlamento.net,10,45,20,0.2,5.800000000000001,19865.98290799884,19.86598290799884,271336
dataset/parlamento.net,10,45,20,0.1,-3.2333333333333334,20323.61448300071,20.32361448300071,271335
dataset/parlamento.net,10,45,20,0.3,11.200000000000001,20408.761127007892,20.408761127007892,271337
dataset/parlamento.net,10,45,20,0.7,54.00000000000001,21090.385843010154,21.090385843010154,271341
